AP 1-HL 1-RL AUCme 1-oneE 1-Cov macAUC macro_f1 micro_f1 lr alpha beta gamma sigma
0.516+0.01 0.989+0.0 0.936+0.003 0.938+0.003 0.619+0.012 0.839+0.007 0.862+0.012 0.117+0.024 0.335+0.047 0.001 1.0 0.001 0 0.1
0.517+0.011	0.989+0.0 0.937+0.004 0.939+0.003 0.616+0.015 0.841+0.009 0.865+0.011 0.121+0.006 0.354+0.016 0.001	1.0 0.1 0 0.1
0.508+0.015 0.989+0.0 0.935+0.004 0.937+0.004 0.606+0.021 0.837+0.01 0.862+0.011 0.112+0.014 0.339+0.026 0.001 1.0 0.001 0 0.01
0.518+0.011 0.989+0.0 0.938+0.003 0.94+0.003 0.617+0.017 0.844+0.007 0.871+0.01 0.107+0.007 0.319+0.021 0.001 1.0 0.1 0 0.01
0.511+0.012 0.989+0.0 0.935+0.003 0.937+0.003 0.615+0.017 0.837+0.007 0.861+0.009 0.127+0.013 0.364+0.025 0.001 1.0 0.001 0 0.001
0.517+0.01 0.989+0.0 0.938+0.003 0.941+0.003 0.617+0.018 0.844+0.008 0.873+0.01 0.111+0.014 0.332+0.031 0.001 1.0 0.1 0 0.001
0.517+0.011 0.989+0.0 0.937+0.003 0.939+0.003 0.618+0.02 0.84+0.007 0.863+0.009 0.114+0.008 0.338+0.015 0.001 1.0 0.01 0 0.1
0.507+0.012 0.988+0.0 0.939+0.003 0.941+0.003 0.601+0.019 0.845+0.008 0.875+0.01 0.063+0.006 0.233+0.016 0.001 1.0 1.0 0 0.1
0.51+0.007 0.989+0.0 0.936+0.004 0.939+0.003 0.611+0.007 0.84+0.008 0.865+0.011 0.108+0.01 0.331+0.024 0.001 1.0 0.01 0 0.01
0.513+0.009 0.988+0.0 0.939+0.003 0.941+0.003 0.611+0.012 0.846+0.008 0.876+0.009 0.067+0.006 0.228+0.016 0.001 1.0 1.0 0 0.01
0.512+0.011 0.989+0.0 0.936+0.003 0.939+0.003 0.608+0.017 0.84+0.006 0.863+0.009 0.124+0.008 0.352+0.02 0.001 1.0 0.01 0 0.001
0.513+0.013 0.988+0.0 0.938+0.003 0.941+0.003 0.609+0.019 0.844+0.008 0.874+0.008 0.075+0.011 0.249+0.035 0.001 1.0 1.0 0 0.001
